trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
315,False,"{'a': 0.7, 'e': 0.36999999999999944}",20,0,15.241314615444283,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
316,False,"{'a': 0.7, 'e': 0.36799999999999944}",25,3,-115.04174010396841,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 2}",1
317,False,"{'a': 0.7, 'e': 0.36599999999999944}",25,16,-7.538773723749942,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
318,False,"{'a': 0.7, 'e': 0.36399999999999944}",20,13,13.14141849191985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.7, 'e': 0.36199999999999943}",20,0,-51.686074969160934,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
320,False,"{'a': 0.7, 'e': 0.35999999999999943}",20,9,1.1475747962052634,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
321,False,"{'a': 0.7, 'e': 0.35799999999999943}",30,8,13.945350283960039,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
322,False,"{'a': 0.7, 'e': 0.35599999999999943}",25,15,12.212748560568114,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.7, 'e': 0.3539999999999994}",25,12,12.152858986258774,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.7, 'e': 0.3519999999999994}",35,13,-65.19043921976102,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 2}",1
325,False,"{'a': 0.7, 'e': 0.3499999999999994}",30,15,18.726979891910197,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.7, 'e': 0.3479999999999994}",20,11,-3.1015688196540356,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.7, 'e': 0.3459999999999994}",35,0,-57.589021723934295,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",0
328,False,"{'a': 0.7, 'e': 0.3439999999999994}",25,8,7.173989026253289,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
329,False,"{'a': 0.7, 'e': 0.3419999999999994}",30,14,1.154606746458748,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 0.7, 'e': 0.3399999999999994}",30,0,-42.41971516143753,"{0: 25, 1: 0, 2: 2, 3: 3, 4: 0}",0
331,False,"{'a': 0.7, 'e': 0.3379999999999994}",20,15,9.118784080634088,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.7, 'e': 0.3359999999999994}",20,3,-1.8702500887118103,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
333,False,"{'a': 0.7, 'e': 0.3339999999999994}",20,5,-1.906604651951316,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
334,False,"{'a': 0.7, 'e': 0.3319999999999994}",35,17,8.168776226885095,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
335,False,"{'a': 0.7, 'e': 0.3299999999999994}",20,9,17.54879504825596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.7, 'e': 0.3279999999999994}",20,0,-73.30296558485979,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
337,False,"{'a': 0.7, 'e': 0.3259999999999994}",20,9,16.707018260270733,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.7, 'e': 0.3239999999999994}",20,3,-9.21252348545646,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
339,False,"{'a': 0.7, 'e': 0.3219999999999994}",20,15,9.211926822088529,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.7, 'e': 0.3199999999999994}",20,0,-2.5580817787951635,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
341,False,"{'a': 0.7, 'e': 0.3179999999999994}",20,0,-6.97790692090229,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
